25
260709-19:05:29.554248 cac_event_hal_disassoc_device:1085 disconnected "8c:c5:b4:e7:8a:ce" vap index:13 reason:0
260709-19:06:44.631894 cac_event_hal_disassoc_device:1085 disconnected "3c:62:f0:39:62:a0" vap index:2 reason:0
260709-19:10:34.782079 cac_event_hal_disassoc_device:1085 disconnected "3c:62:f0:43:70:ed" vap index:1 reason:0
260709-19:17:10.078476 cac_event_hal_disassoc_device:1085 disconnected "3c:62:f0:43:70:ed" vap index:1 reason:0
260709-19:22:07.718204 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:0
260709-19:25:10.437109 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:0
260709-19:36:35.906183 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:17 reason:0
260709-19:39:41.094060 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:17 reason:0
260709-20:06:43.998465 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:1
260709-20:08:46.486795 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:0
260709-20:11:47.447195 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:0
260709-21:37:27.700845 cac_event_hal_disassoc_device:1085 disconnected "20:f1:b2:8d:c0:a8" vap index:1 reason:4
260709-21:40:31.294811 cac_event_hal_disassoc_device:1085 disconnected "20:f1:b2:8d:c0:a8" vap index:1 reason:0
260709-21:42:26.351370 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:17 reason:0
260709-21:42:31.666460 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:1
260709-21:45:31.542431 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:17 reason:0
260709-21:45:36.533443 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:0
260709-21:55:02.852003 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:0
260709-21:58:07.076814 cac_event_hal_disassoc_device:1085 disconnected "b6:59:60:77:25:c4" vap index:2 reason:0
260709-23:12:27.844845 cac_event_hal_disassoc_device:1085 disconnected "4a:0d:d7:1e:65:27" vap index:2 reason:8
260709-23:23:09.177381 cac_event_hal_disassoc_device:1085 disconnected "4a:0d:d7:1e:65:27" vap index:2 reason:1
260709-23:26:10.886099 cac_event_hal_disassoc_device:1085 disconnected "4a:0d:d7:1e:65:27" vap index:2 reason:0
260709-23:32:50.129639 cac_event_hal_disassoc_device:1085 disconnected "96:ae:3d:3a:20:31" vap index:2 reason:1
260709-23:35:51.302184 cac_event_hal_disassoc_device:1085 disconnected "96:ae:3d:3a:20:31" vap index:2 reason:0
