630
[OneWifi] 260709-19:05:29.554107<I>  process_disassoc_device_event:1776 Disassoc event for mac : 8c:c5:b4:e7:8a:ce, Removed the entry from hashmap
[OneWifi] 260709-19:06:44.630827<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,4,5,2 
[OneWifi] 260709-19:06:44.631779<I>  process_disassoc_device_event:1776 Disassoc event for mac : 3c:62:f0:39:62:a0, Removed the entry from hashmap
[OneWifi] 260709-19:07:28.012112<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:07:28.033953<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_assoc_req
[OneWifi] 260709-19:07:33.033472<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:07:33.034565<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_assoc_req
[OneWifi] 260709-19:10:34.781028<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.1.AssociatedDeviceNumberOfEntries,0,4,5,2 
[OneWifi] 260709-19:10:34.781961<I>  process_disassoc_device_event:1776 Disassoc event for mac : 3c:62:f0:43:70:ed, Removed the entry from hashmap
[OneWifi] 260709-19:14:05.209467<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:14:05.220814<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:14:05.226395<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:14:05.235831<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_assoc_req
[OneWifi] 260709-19:14:05.240633<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:16:24.005818<E>  ap_get_handler 2228 vap index : 0
[OneWifi] 260709-19:16:24.012196<E>  ap_get_handler 2228 vap index : 1
[OneWifi] 260709-19:16:24.020082<E>  ap_get_handler 2228 vap index : 16
[OneWifi] 260709-19:16:25.199263<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.199773<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.200294<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.200749<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.205615<I>  Public xfinity vap is disabled
[OneWifi] 260709-19:16:25.206258<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.206795<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.207274<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.971524<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.972172<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.972702<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.973315<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.978687<I>  Public xfinity vap is disabled
[OneWifi] 260709-19:16:25.979390<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:25.980064<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:26.102900<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:26.109001<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:26.110369<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:26.110545<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:26.111147<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:26.116998<I>  Public xfinity vap is disabled
[OneWifi] 260709-19:16:26.117701<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:16:26.118412<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:17:10.077377<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.1.AssociatedDeviceNumberOfEntries,0,4,5,2 
[OneWifi] 260709-19:17:10.078338<I>  process_disassoc_device_event:1776 Disassoc event for mac : 3c:62:f0:43:70:ed, Removed the entry from hashmap
[OneWifi] 260709-19:21:35.337667<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:21:35.352344<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_assoc_req
[OneWifi] 260709-19:21:35.364694<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:21:35.416123<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:21:35.420700<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:21:35.470505<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:21:35.537741<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:21:35.552534<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_assoc_req
[OneWifi] 260709-19:21:35.576114<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:21:36.582560<I>  process_assoc_device_event:1841 Device b6:59:60:77:25:c4 associated with vapindex 1 associated clients count : 6
[OneWifi] 260709-19:21:36.582600<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,6,5,2 
[OneWifi] 260709-19:21:36.582984<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_connect
[OneWifi] 260709-19:21:36.583522<I>  process_assoc_device_event:1897 LMLite notify:Device.WiFi.AccessPoint.2.AssociatedDevice.6 mac:b6:59:60:77:25:c4
[OneWifi] 260709-19:22:07.615711<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:22:07.679264<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:22:07.715679<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:22:07.716979<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,5,6,2 
[OneWifi] 260709-19:22:07.718073<I>  process_disassoc_device_event:1776 Disassoc event for mac : b6:59:60:77:25:c4, Removed the entry from hashmap
[OneWifi] 260709-19:22:07.722276<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:22:08.726257<I>  process_assoc_device_event:1841 Device b6:59:60:77:25:c4 associated with vapindex 16 associated clients count : 1
[OneWifi] 260709-19:22:08.726295<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.17.AssociatedDeviceNumberOfEntries,0,1,0,2 
[OneWifi] 260709-19:22:08.726751<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_connect
[OneWifi] 260709-19:22:08.727207<I>  process_assoc_device_event:1897 LMLite notify:Device.WiFi.AccessPoint.17.AssociatedDevice.1 mac:b6:59:60:77:25:c4
[OneWifi] 260709-19:25:10.436015<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,4,5,2 
[OneWifi] 260709-19:25:10.436970<I>  process_disassoc_device_event:1776 Disassoc event for mac : b6:59:60:77:25:c4, Removed the entry from hashmap
[OneWifi] 260709-19:31:24.004814<E>  ap_get_handler 2228 vap index : 0
[OneWifi] 260709-19:31:24.010122<E>  ap_get_handler 2228 vap index : 1
[OneWifi] 260709-19:31:24.015242<E>  ap_get_handler 2228 vap index : 16
[OneWifi] 260709-19:31:25.089691<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.090234<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.090739<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.091292<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.101288<I>  Public xfinity vap is disabled
[OneWifi] 260709-19:31:25.101886<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.102445<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.102951<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.856262<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.856771<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.857222<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.857664<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.867697<I>  Public xfinity vap is disabled
[OneWifi] 260709-19:31:25.868342<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.868878<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:25.985417<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:26.101559<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:26.102125<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:26.102576<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:26.103051<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:26.112313<I>  Public xfinity vap is disabled
[OneWifi] 260709-19:31:26.112930<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:31:26.113434<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-19:36:01.409735<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-19:36:01.435128<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_assoc_req
[OneWifi] 260709-19:36:02.466206<I>  process_assoc_device_event:1841 Device 9c:24:72:20:cd:68 associated with vapindex 13 associated clients count : 2
[OneWifi] 260709-19:36:02.466698<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_connect
[OneWifi] 260709-19:36:35.904395<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-19:36:35.905455<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.17.AssociatedDeviceNumberOfEntries,0,0,1,2 
[OneWifi] 260709-19:36:35.906035<I>  process_disassoc_device_event:1776 Disassoc event for mac : b6:59:60:77:25:c4, Removed the entry from hashmap
[OneWifi] 260709-19:39:41.092869<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.17.AssociatedDeviceNumberOfEntries,0,18446744073709551615,0,2 
