260107-07:08:06.731495 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:11.732163 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:16.732971 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:21.733487 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:26.734072 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:31.734597 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:36.735106 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:41.735774 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:46.736505 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:51.737372 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:08:56.738249 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:01.739135 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:06.740031 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:11.741010 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:16.741719 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:21.742160 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:26.742809 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:31.743487 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:36.744309 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:41.744929 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:46.745411 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:51.746028 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
