260708-13:07:23.364701 [mod=RTMESSAGE, lvl=INFO] [tid=2223] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260708-13:07:23.399614 [mod=RTMESSAGE, lvl=INFO] [tid=2223] Stopping threads
260708-13:12:21.036854 [mod=RTMESSAGE, lvl=INFO] [tid=2223] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260708-13:12:21.146749 [mod=RTMESSAGE, lvl=INFO] [tid=2223] Stopping threads
260708-13:19:18.580617 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-13:19:18.581217 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-13:19:18.581399 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-13:19:18.591604 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-13:19:18.596714 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-13:19:18.597241 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-13:19:18.599570 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-13:19:18.602188 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-13:19:18.603159 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
260708-13:19:18.605679 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260708-13:34:18.606226 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-13:34:18.606919 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-13:34:18.607096 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-13:34:18.614385 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-13:34:18.617822 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-13:34:18.618359 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
