260705-22:31:04.145640 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260705-22:31:04.145878 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260705-22:31:04.145952 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260705-22:31:04.148835 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260705-22:31:04.151854 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260705-22:31:04.152382 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260705-22:31:04.159763 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260705-22:31:04.162573 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260705-22:31:04.162898 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260705-22:31:04.184223 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260705-22:46:04.151988 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260705-22:46:04.152219 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260705-22:46:04.152292 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260705-22:46:04.155297 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260705-22:46:04.158187 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260705-22:46:04.158723 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260705-22:46:04.161235 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260705-22:46:04.163873 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260705-22:46:04.164118 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260705-22:46:04.166758 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260705-23:01:04.166279 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260705-23:01:04.166511 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260705-23:01:04.166587 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260705-23:01:04.169808 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260705-23:01:04.172673 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260705-23:01:04.173203 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260705-23:01:04.179315 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260705-23:01:04.182137 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260705-23:01:04.182379 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260705-23:01:04.184951 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260705-23:16:04.194608 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260705-23:16:04.194836 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260705-23:16:04.194913 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260705-23:16:04.197327 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260705-23:16:04.202626 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260705-23:16:04.203170 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260705-23:16:04.208001 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260705-23:16:04.216839 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260705-23:16:04.217088 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260705-23:16:04.226524 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260705-23:31:04.185626 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260705-23:31:04.185856 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260705-23:31:04.185932 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260705-23:31:04.188391 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260705-23:31:04.191232 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260705-23:31:04.191768 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260705-23:31:04.216760 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260705-23:31:04.230937 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260705-23:31:04.231182 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260705-23:31:04.237772 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260705-23:46:04.118803 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260705-23:46:04.119034 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260705-23:46:04.119153 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260705-23:46:04.121667 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260705-23:46:04.124509 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260705-23:46:04.125041 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260705-23:46:04.127960 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260705-23:46:04.132134 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260705-23:46:04.132374 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260705-23:46:04.141986 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-00:01:04.194944 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-00:01:04.195173 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-00:01:04.195244 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260706-00:01:04.197747 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-00:01:04.200705 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-00:01:04.201266 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-00:01:04.224576 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-00:01:04.233096 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-00:01:04.233335 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-00:01:04.244761 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

