260706-15:19:30.336501 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:19:30.391657 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-15:22:22.784570 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-15:22:22.785190 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-15:22:22.785342 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-15:22:22.791994 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-15:22:22.806954 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-15:22:22.807484 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-15:22:22.812053 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-15:22:22.816404 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-15:22:22.816655 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-15:22:22.819118 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-15:26:55.032911 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:26:55.180855 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-15:32:31.285166 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:32:31.343768 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-15:34:55.492932 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-15:34:55.593250 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
